customerID,InvoiceDate,DueDate,SettledDate,DaysToSettle,DaysLate,First invoice,Late,On-Time,Train/Test,Age Bucket,Invoiced Month,InvoiceAmount,Invoice Due Month,Gap between current and previous invoice due date,Average Amount of PAID,Average of Amount of LATE PAID,Average Days Late,Average Days to Settle,Ratio Of Amount of Paid Invoices Bucket(0) by Total Amount of Paid Invoices,Ratio Of Amount of Paid Invoices Bucket(1) by Total Amount of Paid Invoices,Ratio Of Amount of Paid Invoices Bucket(2) by Total Amount of Paid Invoices,Ratio Of Amount of Paid Invoices Bucket(3) by Total Amount of Paid Invoices,Ratio Of Amount of Paid Invoices Bucket(4) by Total Amount of Paid Invoices,Ratio Of Amount of Paid Invoices Bucket(5) by Total Amount of Paid Invoices,Ratio Of number of Paid Invoices Bucket(0) by Total number of Paid Invoices,Ratio Of number of Paid Invoices Bucket(1) by Total number of Paid Invoices,Ratio Of number of Paid Invoices Bucket(2) by Total number of Paid Invoices,Ratio Of number of Paid Invoices Bucket(3) by Total number of Paid Invoices,Ratio Of number of Paid Invoices Bucket(4) by Total number of Paid Invoices,Ratio Of number of Paid Invoices Bucket(5) by Total number of Paid Invoices
0465-DTULQ,1/9/2012,2/8/2012,2/13/2012,35,5,FALSE,TRUE,FALSE,Train,1,1,40.22,2,5,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,1/30/2012,2/29/2012,3/21/2012,51,21,FALSE,TRUE,FALSE,Train,3,1,59.34,2,21,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,4/10/2012,5/10/2012,5/3/2012,23,0,FALSE,FALSE,TRUE,Train,0,4,60.35,5,71,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,4/28/2012,5/28/2012,6/12/2012,45,15,FALSE,TRUE,FALSE,Train,3,4,43.62,5,18,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,5/27/2012,6/26/2012,6/20/2012,24,0,FALSE,FALSE,TRUE,Train,0,5,43.09,6,29,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,6/16/2012,7/16/2012,8/3/2012,48,18,FALSE,TRUE,FALSE,Train,3,6,39.87,7,20,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,8/1/2012,8/31/2012,9/5/2012,35,5,FALSE,TRUE,FALSE,Train,1,8,61,8,46,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,8/29/2012,9/28/2012,9/28/2012,30,0,FALSE,FALSE,TRUE,Train,0,8,70.67,9,28,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,8/30/2012,9/29/2012,10/14/2012,45,15,FALSE,TRUE,FALSE,Train,3,8,28.95,9,1,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,9/3/2012,10/3/2012,10/23/2012,50,20,FALSE,TRUE,FALSE,Train,3,9,43.41,10,4,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,9/14/2012,10/14/2012,10/17/2012,33,3,FALSE,TRUE,FALSE,Train,1,9,32.86,10,11,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,10/3/2012,11/2/2012,11/7/2012,35,5,FALSE,TRUE,FALSE,Train,1,10,49.85,11,19,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,11/16/2012,12/16/2012,12/20/2012,34,4,FALSE,TRUE,FALSE,Train,1,11,76.21,12,44,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,12/18/2012,1/17/2013,1/27/2013,40,10,FALSE,TRUE,FALSE,Train,2,12,22.53,1,32,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,12/28/2012,1/27/2013,1/25/2013,28,0,FALSE,FALSE,TRUE,Train,0,12,58.71,1,10,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,1/11/2013,2/10/2013,2/20/2013,40,10,FALSE,TRUE,FALSE,Train,2,1,52.14,2,14,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,1/18/2013,2/17/2013,2/23/2013,36,6,FALSE,TRUE,FALSE,Train,1,1,64.48,2,7,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0625-TNJFG,2/24/2012,3/25/2012,3/25/2012,30,0,TRUE,FALSE,TRUE,Train,0,2,62.39,3,0,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,3/6/2012,4/5/2012,3/28/2012,22,0,FALSE,FALSE,TRUE,Train,0,3,41.89,4,11,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,3/20/2012,4/19/2012,4/11/2012,22,0,FALSE,FALSE,TRUE,Train,0,3,27.08,4,14,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,6/19/2012,7/19/2012,7/5/2012,16,0,FALSE,FALSE,TRUE,Train,0,6,48.08,7,91,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,8/1/2012,8/31/2012,8/31/2012,30,0,FALSE,FALSE,TRUE,Train,0,8,64.44,8,43,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,8/24/2012,9/23/2012,9/13/2012,20,0,FALSE,FALSE,TRUE,Train,0,8,42.18,9,23,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,8/24/2012,9/23/2012,9/17/2012,24,0,FALSE,FALSE,TRUE,Train,0,8,46.2,9,0,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,8/31/2012,9/30/2012,9/23/2012,23,0,FALSE,FALSE,TRUE,Train,0,8,55.8,9,7,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,9/8/2012,10/8/2012,10/2/2012,24,0,FALSE,FALSE,TRUE,Train,0,9,53.87,10,8,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,9/10/2012,10/10/2012,10/12/2012,32,2,FALSE,TRUE,FALSE,Train,1,9,70.6,10,2,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,9/30/2012,10/30/2012,10/24/2012,24,0,FALSE,FALSE,TRUE,Train,0,9,74.49,10,20,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,9/30/2012,10/30/2012,10/31/2012,31,1,FALSE,TRUE,FALSE,Train,1,9,39.69,10,0,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,10/31/2012,11/30/2012,11/15/2012,15,0,FALSE,FALSE,TRUE,Train,0,10,37.9,11,31,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,11/19/2012,12/19/2012,12/13/2012,24,0,FALSE,FALSE,TRUE,Train,0,11,62.84,12,19,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,1/24/2013,2/23/2013,2/16/2013,23,0,FALSE,FALSE,TRUE,Train,0,1,65.75,2,66,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2/22/2013,3/24/2013,3/28/2013,34,4,FALSE,TRUE,FALSE,Train,1,2,57.64,3,29,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,5/10/2013,6/9/2013,6/8/2013,29,0,FALSE,FALSE,TRUE,Train,0,5,36.86,6,77,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,5/11/2013,6/10/2013,6/5/2013,25,0,FALSE,FALSE,TRUE,Train,0,5,53.01,6,1,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,6/2/2013,7/2/2013,6/28/2013,26,0,FALSE,FALSE,TRUE,Train,0,6,67.86,7,22,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,7/5/2013,8/4/2013,8/6/2013,32,2,FALSE,TRUE,FALSE,Train,1,7,69.85,8,33,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0688-XNJRO,1/12/2012,2/11/2012,2/24/2012,43,13,TRUE,TRUE,FALSE,Train,2,1,64.19,2,0,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,1/18/2012,2/17/2012,3/22/2012,64,34,FALSE,TRUE,FALSE,Train,5,1,18.03,2,6,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,2/8/2012,3/9/2012,3/25/2012,46,16,FALSE,TRUE,FALSE,Train,3,2,68.28,3,21,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,2/11/2012,3/12/2012,3/15/2012,33,3,FALSE,TRUE,FALSE,Train,1,2,27.22,3,3,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,4/15/2012,5/15/2012,6/3/2012,49,19,FALSE,TRUE,FALSE,Train,3,4,35.3,5,64,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,4/21/2012,5/21/2012,6/8/2012,48,18,FALSE,TRUE,FALSE,Train,3,4,49.62,5,6,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,6/7/2012,7/7/2012,7/28/2012,51,21,FALSE,TRUE,FALSE,Train,3,6,45.79,7,47,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,7/5/2012,8/4/2012,8/15/2012,41,11,FALSE,TRUE,FALSE,Train,2,7,24.42,8,28,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,7/16/2012,8/15/2012,9/11/2012,57,27,FALSE,TRUE,FALSE,Train,4,7,9.19,8,11,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,9/3/2012,10/3/2012,10/13/2012,40,10,FALSE,TRUE,FALSE,Train,2,9,28.51,10,49,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,9/30/2012,10/30/2012,11/14/2012,45,15,FALSE,TRUE,FALSE,Train,3,9,46.4,10,27,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,11/14/2012,12/14/2012,12/25/2012,41,11,FALSE,TRUE,FALSE,Train,2,11,23.05,12,45,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,11/16/2012,12/16/2012,1/3/2013,48,18,FALSE,TRUE,FALSE,Train,3,11,39.39,12,2,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,12/10/2012,1/9/2013,1/17/2013,38,8,FALSE,TRUE,FALSE,Train,2,12,30.98,1,24,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,12/13/2012,1/12/2013,1/30/2013,48,18,FALSE,TRUE,FALSE,Train,3,12,36.09,1,3,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,12/14/2012,1/13/2013,1/14/2013,31,1,FALSE,TRUE,FALSE,Train,1,12,40.86,1,1,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,12/31/2012,1/30/2013,2/16/2013,47,17,FALSE,TRUE,FALSE,Train,3,12,44.81,1,17,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,2/19/2013,3/21/2013,3/21/2013,30,0,FALSE,FALSE,TRUE,Train,0,2,25.38,3,50,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,3/26/2013,4/25/2013,5/27/2013,62,32,FALSE,TRUE,FALSE,Train,5,3,55.16,4,35,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,4/12/2013,5/12/2013,6/4/2013,53,23,FALSE,TRUE,FALSE,Train,4,4,34.75,5,17,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,5/2/2013,6/1/2013,6/16/2013,45,15,FALSE,TRUE,FALSE,Train,3,5,41.31,6,20,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,6/2/2013,7/2/2013,7/9/2013,37,7,FALSE,TRUE,FALSE,Train,1,6,41.56,7,31,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,6/5/2013,7/5/2013,8/3/2013,59,29,FALSE,TRUE,FALSE,Train,5,6,43.07,7,3,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,6/15/2013,7/15/2013,7/23/2013,38,8,FALSE,TRUE,FALSE,Train,2,6,9.52,7,10,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0706-NRGUP,3/13/2012,4/12/2012,4/23/2012,41,11,TRUE,TRUE,FALSE,Train,2,3,16.62,4,0,29.78222222,32.542,6.9,36.9,0.392963737,0.446873601,0.086255783,0.07390688,0,0,0.444444444,0.388888889,0.111111111,0.055555556,0,0
0706-NRGUP,4/16/2012,5/16/2012,5/22/2012,36,6,FALSE,TRUE,FALSE,Train,1,4,41.44,5,34,29.78222222,32.542,6.9,36.9,0.392963737,0.446873601,0.086255783,0.07390688,0,0,0.444444444,0.388888889,0.111111111,0.055555556,0,0
0706-NRGUP,4/18/2012,5/18/2012,5/20/2012,32,2,FALSE,TRUE,FALSE,Train,1,4,39.25,5,2,29.78222222,32.542,6.9,36.9,0.392963737,0.446873601,0.086255783,0.07390688,0,0,0.444444444,0.388888889,0.111111111,0.055555556,0,0
0706-NRGUP,5/22/2012,6/21/2012,6/28/2012,37,7,FALSE,TRUE,FALSE,Train,1,5,35.02,6,34,29.78222222,32.542,6.9,36.9,0.392963737,0.446873601,0.086255783,0.07390688,0,0,0.444444444,0.388888889,0.111111111,0.055555556,0,0
