customerID,InvoiceDate,DueDate,SettledDate,DaysToSettle,DaysLate,First invoice,Late,On-Time,Train/Test 30%,Train/Test 3 months,Age Bucket,Invoiced Month,InvoiceAmount,Invoice Due Month,Gap between current and previous invoice due date,Average Amount of PAID,Average of Amount of LATE PAID,Average Days Late,Average Days to Settle,Ratio Of Amount of Paid Invoices Bucket(0) by Total Amount of Paid Invoices,Ratio Of Amount of Paid Invoices Bucket(1) by Total Amount of Paid Invoices,Ratio Of Amount of Paid Invoices Bucket(2) by Total Amount of Paid Invoices,Ratio Of Amount of Paid Invoices Bucket(3) by Total Amount of Paid Invoices,Ratio Of Amount of Paid Invoices Bucket(4) by Total Amount of Paid Invoices,Ratio Of Amount of Paid Invoices Bucket(5) by Total Amount of Paid Invoices,Ratio Of number of Paid Invoices Bucket(0) by Total number of Paid Invoices,Ratio Of number of Paid Invoices Bucket(1) by Total number of Paid Invoices,Ratio Of number of Paid Invoices Bucket(2) by Total number of Paid Invoices,Ratio Of number of Paid Invoices Bucket(3) by Total number of Paid Invoices,Ratio Of number of Paid Invoices Bucket(4) by Total number of Paid Invoices,Ratio Of number of Paid Invoices Bucket(5) by Total number of Paid Invoices
0187-ERLSR,2013/05/25,2013/06/24,2013/06/02,8,0,FALSE,FALSE,TRUE,Test,Train,0,5,53.59,6,18,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,2013/10/17,2013/11/16,2013/10/20,3,0,FALSE,FALSE,TRUE,Test,Test,0,10,77.19,11,145,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,2013/11/11,2013/12/11,2013/11/24,13,0,FALSE,FALSE,TRUE,Test,Test,0,11,83.18,12,25,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0187-ERLSR,2013/11/25,2013/12/25,2013/12/12,17,0,FALSE,FALSE,TRUE,Test,Test,0,11,65.57,12,14,67.039375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0379-NEVHP,2012/02/12,2012/03/13,2012/02/28,16,0,TRUE,FALSE,TRUE,Train,Train,0,2,28.21,3,0,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2012/03/01,2012/03/31,2012/04/17,47,17,FALSE,TRUE,FALSE,Train,Train,3,3,48.65,3,18,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2012/03/20,2012/04/19,2012/04/08,19,0,FALSE,FALSE,TRUE,Train,Train,0,3,103.64,4,19,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2012/07/01,2012/07/31,2012/07/17,16,0,FALSE,FALSE,TRUE,Train,Train,0,7,42.25,7,103,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2012/09/01,2012/10/01,2012/09/23,22,0,FALSE,FALSE,TRUE,Train,Train,0,9,69.55,10,62,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2012/09/10,2012/10/10,2012/09/28,18,0,FALSE,FALSE,TRUE,Train,Train,0,9,72.97,10,9,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2012/10/24,2012/11/23,2012/11/06,13,0,FALSE,FALSE,TRUE,Train,Train,0,10,50.7,11,44,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2012/10/28,2012/11/27,2012/11/19,22,0,FALSE,FALSE,TRUE,Train,Train,0,10,76.81,11,4,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2012/12/03,2013/01/02,2012/12/19,16,0,FALSE,FALSE,TRUE,Train,Train,0,12,52.47,1,36,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2013/01/02,2013/02/01,2013/01/15,13,0,FALSE,FALSE,TRUE,Train,Train,0,1,55.94,2,30,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2013/01/05,2013/02/04,2013/01/26,21,0,FALSE,FALSE,TRUE,Train,Train,0,1,61.11,2,3,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2013/01/09,2013/02/08,2013/01/27,18,0,FALSE,FALSE,TRUE,Train,Train,0,1,34.41,2,4,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2013/01/25,2013/02/24,2013/02/11,17,0,FALSE,FALSE,TRUE,Train,Train,0,1,33.23,2,16,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2013/02/14,2013/03/16,2013/03/03,17,0,FALSE,FALSE,TRUE,Train,Train,0,2,55.21,3,20,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2013/02/17,2013/03/19,2013/03/11,22,0,FALSE,FALSE,TRUE,Train,Train,0,2,79.25,3,3,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2013/04/03,2013/05/03,2013/04/19,16,0,FALSE,FALSE,TRUE,Train,Train,0,4,74.34,5,45,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2013/05/17,2013/06/16,2013/06/12,26,0,FALSE,FALSE,TRUE,Train,Train,0,5,78.57,6,44,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2013/05/29,2013/06/28,2013/06/06,8,0,FALSE,FALSE,TRUE,Train,Train,0,5,68.49,6,12,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2013/06/05,2013/07/05,2013/06/19,14,0,FALSE,FALSE,TRUE,Train,Train,0,6,57.04,7,7,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2013/06/24,2013/07/24,2013/07/11,17,0,FALSE,FALSE,TRUE,Test,Train,0,6,61.66,7,19,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2013/07/12,2013/08/11,2013/07/25,13,0,FALSE,FALSE,TRUE,Test,Train,0,7,30.9,8,18,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2013/08/05,2013/09/04,2013/08/21,16,0,FALSE,FALSE,TRUE,Test,Train,0,8,43.64,9,24,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2013/08/11,2013/09/10,2013/08/21,10,0,FALSE,FALSE,TRUE,Test,Train,0,8,47.08,9,6,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2013/08/16,2013/09/15,2013/08/31,15,0,FALSE,FALSE,TRUE,Test,Train,0,8,70.9,9,5,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2013/09/07,2013/10/07,2013/09/13,6,0,FALSE,FALSE,TRUE,Test,Train,0,9,62.88,10,22,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2013/10/04,2013/11/03,2013/10/26,22,0,FALSE,FALSE,TRUE,Test,Test,0,10,64.72,11,27,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0379-NEVHP,2013/11/06,2013/12/06,2013/11/17,11,0,FALSE,FALSE,TRUE,Test,Test,0,11,59.56,12,33,58.67333333,48.65,17,47,0.969290106,0,0,0.030709894,0,0,0.962962963,0,0,0.037037037,0,0
0465-DTULQ,2012/01/04,2012/02/03,2012/02/04,31,1,TRUE,TRUE,FALSE,Train,Train,1,1,55.91,2,0,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2012/01/09,2012/02/08,2012/02/13,35,5,FALSE,TRUE,FALSE,Train,Train,1,1,40.22,2,5,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2012/01/30,2012/02/29,2012/03/21,51,21,FALSE,TRUE,FALSE,Train,Train,3,1,59.34,2,21,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2012/04/10,2012/05/10,2012/05/03,23,0,FALSE,FALSE,TRUE,Train,Train,0,4,60.35,5,71,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2012/04/28,2012/05/28,2012/06/12,45,15,FALSE,TRUE,FALSE,Train,Train,3,4,43.62,5,18,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2012/05/27,2012/06/26,2012/06/20,24,0,FALSE,FALSE,TRUE,Train,Train,0,5,43.09,6,29,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2012/06/16,2012/07/16,2012/08/03,48,18,FALSE,TRUE,FALSE,Train,Train,3,6,39.87,7,20,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2012/08/01,2012/08/31,2012/09/05,35,5,FALSE,TRUE,FALSE,Train,Train,1,8,61,8,46,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2012/08/29,2012/09/28,2012/09/28,30,0,FALSE,FALSE,TRUE,Train,Train,0,8,70.67,9,28,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2012/08/30,2012/09/29,2012/10/14,45,15,FALSE,TRUE,FALSE,Train,Train,3,8,28.95,9,1,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2012/09/03,2012/10/03,2012/10/23,50,20,FALSE,TRUE,FALSE,Train,Train,3,9,43.41,10,4,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2012/09/14,2012/10/14,2012/10/17,33,3,FALSE,TRUE,FALSE,Train,Train,1,9,32.86,10,11,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2012/10/03,2012/11/02,2012/11/07,35,5,FALSE,TRUE,FALSE,Train,Train,1,10,49.85,11,19,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2012/11/16,2012/12/16,2012/12/20,34,4,FALSE,TRUE,FALSE,Train,Train,1,11,76.21,12,44,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2012/12/18,2013/01/17,2013/01/27,40,10,FALSE,TRUE,FALSE,Train,Train,2,12,22.53,1,32,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2012/12/28,2013/01/27,2013/01/25,28,0,FALSE,FALSE,TRUE,Train,Train,0,12,58.71,1,10,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2013/01/11,2013/02/10,2013/02/20,40,10,FALSE,TRUE,FALSE,Train,Train,2,1,52.14,2,14,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2013/01/18,2013/02/17,2013/02/23,36,6,FALSE,TRUE,FALSE,Train,Train,1,1,64.48,2,7,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2013/03/01,2013/03/31,2013/03/31,30,0,FALSE,FALSE,TRUE,Test,Train,0,3,68.35,3,42,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2013/04/02,2013/05/02,2013/04/28,26,0,FALSE,FALSE,TRUE,Test,Train,0,4,63,5,32,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2013/04/23,2013/05/23,2013/05/19,26,0,FALSE,FALSE,TRUE,Test,Train,0,4,27,5,21,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2013/07/20,2013/08/19,2013/08/15,26,0,FALSE,FALSE,TRUE,Test,Train,0,7,38.55,8,88,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2013/07/29,2013/08/28,2013/08/26,28,0,FALSE,FALSE,TRUE,Test,Train,0,7,83.36,8,9,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2013/10/20,2013/11/19,2013/11/10,21,0,FALSE,FALSE,TRUE,Test,Test,0,10,46.07,11,83,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2013/11/13,2013/12/13,2013/12/12,29,0,FALSE,FALSE,TRUE,Test,Test,0,11,58.22,12,24,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0465-DTULQ,2013/11/25,2013/12/25,2013/12/23,28,0,FALSE,FALSE,TRUE,Test,Test,0,11,72.36,12,12,52.31230769,47.885,9.857142857,39.85714286,0.507109667,0.279776784,0.054899568,0.158213981,0,0,0.461538462,0.269230769,0.076923077,0.192307692,0,0
0625-TNJFG,2012/02/24,2012/03/25,2012/03/25,30,0,TRUE,FALSE,TRUE,Train,Train,0,2,62.39,3,0,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2012/03/06,2012/04/05,2012/03/28,22,0,FALSE,FALSE,TRUE,Train,Train,0,3,41.89,4,11,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2012/03/20,2012/04/19,2012/04/11,22,0,FALSE,FALSE,TRUE,Train,Train,0,3,27.08,4,14,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2012/06/19,2012/07/19,2012/07/05,16,0,FALSE,FALSE,TRUE,Train,Train,0,6,48.08,7,91,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2012/08/01,2012/08/31,2012/08/31,30,0,FALSE,FALSE,TRUE,Train,Train,0,8,64.44,8,43,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2012/08/24,2012/09/23,2012/09/13,20,0,FALSE,FALSE,TRUE,Train,Train,0,8,42.18,9,23,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2012/08/24,2012/09/23,2012/09/17,24,0,FALSE,FALSE,TRUE,Train,Train,0,8,46.2,9,0,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2012/08/31,2012/09/30,2012/09/23,23,0,FALSE,FALSE,TRUE,Train,Train,0,8,55.8,9,7,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2012/09/08,2012/10/08,2012/10/02,24,0,FALSE,FALSE,TRUE,Train,Train,0,9,53.87,10,8,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2012/09/10,2012/10/10,2012/10/12,32,2,FALSE,TRUE,FALSE,Train,Train,1,9,70.6,10,2,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2012/09/30,2012/10/30,2012/10/24,24,0,FALSE,FALSE,TRUE,Train,Train,0,9,74.49,10,20,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2012/09/30,2012/10/30,2012/10/31,31,1,FALSE,TRUE,FALSE,Train,Train,1,9,39.69,10,0,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2012/10/31,2012/11/30,2012/11/15,15,0,FALSE,FALSE,TRUE,Train,Train,0,10,37.9,11,31,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2012/11/19,2012/12/19,2012/12/13,24,0,FALSE,FALSE,TRUE,Train,Train,0,11,62.84,12,19,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2013/01/24,2013/02/23,2013/02/16,23,0,FALSE,FALSE,TRUE,Train,Train,0,1,65.75,2,66,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2013/02/22,2013/03/24,2013/03/28,34,4,FALSE,TRUE,FALSE,Train,Train,1,2,57.64,3,29,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2013/05/10,2013/06/09,2013/06/08,29,0,FALSE,FALSE,TRUE,Train,Train,0,5,36.86,6,77,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2013/05/11,2013/06/10,2013/06/05,25,0,FALSE,FALSE,TRUE,Train,Train,0,5,53.01,6,1,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2013/06/02,2013/07/02,2013/06/28,26,0,FALSE,FALSE,TRUE,Train,Train,0,6,67.86,7,22,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2013/07/05,2013/08/04,2013/08/06,32,2,FALSE,TRUE,FALSE,Train,Train,1,7,69.85,8,33,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2013/07/07,2013/08/06,2013/08/01,25,0,FALSE,FALSE,TRUE,Test,Train,0,7,68.03,8,2,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2013/07/13,2013/08/12,2013/08/04,22,0,FALSE,FALSE,TRUE,Test,Train,0,7,81.63,8,6,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2013/08/25,2013/09/24,2013/09/11,17,0,FALSE,FALSE,TRUE,Test,Train,0,8,50.17,9,43,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2013/09/07,2013/10/07,2013/10/18,41,11,FALSE,TRUE,FALSE,Test,Train,2,9,64.16,10,13,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2013/09/08,2013/10/08,2013/09/22,14,0,FALSE,FALSE,TRUE,Test,Train,0,9,64.29,10,1,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2013/11/05,2013/12/05,2013/12/02,27,0,FALSE,FALSE,TRUE,Test,Test,0,11,44.4,12,58,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2013/11/11,2013/12/11,2013/12/01,20,0,FALSE,FALSE,TRUE,Test,Test,0,11,83.68,12,6,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0625-TNJFG,2013/11/21,2013/12/21,2013/12/12,21,0,FALSE,FALSE,TRUE,Test,Test,0,11,92.48,12,10,58.11642857,60.388,4,34,0.814448828,0.146122931,0.039428241,0,0,0,0.821428571,0.142857143,0.035714286,0,0,0
0688-XNJRO,2012/01/12,2012/02/11,2012/02/24,43,13,TRUE,TRUE,FALSE,Train,Train,2,1,64.19,2,0,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,2012/01/18,2012/02/17,2012/03/22,64,34,FALSE,TRUE,FALSE,Train,Train,5,1,18.03,2,6,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
0688-XNJRO,2012/02/08,2012/03/09,2012/03/25,46,16,FALSE,TRUE,FALSE,Train,Train,3,2,68.28,3,21,36.21911765,36.90625,15.34375,45.34375,0.040967965,0.118754314,0.267530147,0.44265703,0.035681514,0.09440903,0.058823529,0.117647059,0.294117647,0.382352941,0.058823529,0.088235294
